business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,place_id,plus_code,rating,reference,scope,types,user_ratings_total,vicinity,opening_hours,photos,hex_id
OPERATIONAL,"{'location': {'lat': 52.3871316, 'lng': 4.607738599999998}, 'viewport': {'northeast': {'lat': 52.38853563029149, 'lng': 4.608789130291501}, 'southwest': {'lat': 52.38583766970849, 'lng': 4.606091169708496}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/worship_general-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/worship_christian_pinlet,Onze Lieve Vrouw Onbevlekt Ontvangen,ChIJUVfwYADvxUcRxDuY5n8OalQ,"{'compound_code': '9JP5+V3 Overveen, Netherlands', 'global_code': '9F469JP5+V3'}",5.0,ChIJUVfwYADvxUcRxDuY5n8OalQ,GOOGLE,"['church', 'place_of_worship', 'point_of_interest', 'establishment']",1,"Korte Zijlweg 5, Overveen",,,8819682ecbfffff
OPERATIONAL,"{'location': {'lat': 52.3865936, 'lng': 4.6158847}, 'viewport': {'northeast': {'lat': 52.3879361302915, 'lng': 4.617300330291502}, 'southwest': {'lat': 52.3852381697085, 'lng': 4.614602369708497}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/worship_general-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/worship_christian_pinlet,Church of the Nazarene,ChIJ31K7BBvvxUcR4UowdOhSsLA,"{'compound_code': '9JP8+J9 Haarlem, Netherlands', 'global_code': '9F469JP8+J9'}",4.7,ChIJ31K7BBvvxUcR4UowdOhSsLA,GOOGLE,"['church', 'place_of_worship', 'point_of_interest', 'establishment']",27,"Zijlweg 218, Haarlem",{'open_now': False},"[{'height': 533, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103878298830511134550"">Kerk van de Nazarener</a>'], 'photo_reference': 'AXQCQNQl6wsqIKLJkCMuVexxhiaVF7cpekdVLP79ttJ2U6y_gbDJvpdRC9-AAFx7ogdm_X1dunPZ4xwFYDobG94mOBxly9RseiOJaheLBbSK0EKvfDgtg7WUVrgpjL76EF1Jh1q_c7IP40vShe7Vmk31ksniD408REZh8kA7BNAzf1HbB-7i77W30oc5olk4oGODb_kSJaMjTtlClIiNuClEtMAzRlgHZ4jq5a-7K3u2EnUDtih23kv7ZpPYE9I-Dq9eNqKvC3pwMdXFN9N_bZEp8Bv4CiqKdyZU6bOH20_zz6hd9b9VcJkSt9_LHudChXyq6EsgZGRaOfc', 'width': 800}]",8819682ecbfffff
