business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,place_id,plus_code,reference,scope,types,vicinity,opening_hours,hex_id
OPERATIONAL,"{'location': {'lat': 52.4118967, 'lng': 4.6505001}, 'viewport': {'northeast': {'lat': 52.41333073029149, 'lng': 4.651834730291503}, 'southwest': {'lat': 52.4106327697085, 'lng': 4.649136769708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/worship_general-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/worship_christian_pinlet,Klokkentoren van de voormalige St.Bavo en Onze Lieve Vrouw van Zeven Smartenkerk,ChIJA0ZrTgDvxUcRrW3fP733LnY,"{'compound_code': 'CM62+Q6 Haarlem, Netherlands', 'global_code': '9F46CM62+Q6'}",ChIJA0ZrTgDvxUcRrW3fP733LnY,GOOGLE,"['church', 'place_of_worship', 'point_of_interest', 'establishment']","Rijksstraatweg 361R, Haarlem",,8819682501fffff
OPERATIONAL,"{'location': {'lat': 52.4098601, 'lng': 4.641107799999999}, 'viewport': {'northeast': {'lat': 52.41112863029149, 'lng': 4.642530880291503}, 'southwest': {'lat': 52.40843066970849, 'lng': 4.639832919708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/worship_general-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/worship_christian_pinlet,Nieuw-Apostolische Kerk Haarlem,ChIJWWxTIADvxUcR7BIBM-hVpYU,"{'compound_code': 'CJ5R+WC Haarlem, Netherlands', 'global_code': '9F46CJ5R+WC'}",ChIJWWxTIADvxUcR7BIBM-hVpYU,GOOGLE,"['church', 'place_of_worship', 'point_of_interest', 'establishment']","Plesmanlaan 9, Haarlem",{'open_now': False},8819682501fffff
