business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,rating,reference,scope,types,user_ratings_total,vicinity,hex_id
OPERATIONAL,"{'location': {'lat': 52.4056521, 'lng': 4.652192999999999}, 'viewport': {'northeast': {'lat': 52.40707503029149, 'lng': 4.653595880291501}, 'southwest': {'lat': 52.4043770697085, 'lng': 4.650897919708497}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/worship_general-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/worship_christian_pinlet,Pinkstergemeente Immanuel,{'open_now': False},"[{'height': 325, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107955821370075759365"">Pinkstergemeente Immanuel</a>'], 'photo_reference': 'AXQCQNQRaP_gv6X4jN1j7Ira_PamLCurnbVi9FCwTaDeR1RLc1gdCMIgfJqTG1j8krjQx6djAHr8XTLk7YRoBiH1z72x_EElbWPewZUYTdemzgMOF3QNoJZKt7x31si8B3as0yViCTw4dtoQ1t_3h7iSBKt87pBPlGCINSZWxXabg_3mNqfr3Y3AQCn5L3qT6drn1JMFQUkf1d67tQcXPfuoY4VBLc12wTKLRBJ3a6H7xFOkjyflsVxLU8U-cA2tfxvoLNzUKpvNRuO6lmS6C5TSWxAEc1F3GwPzUV348oEJcv0Zm4T43Obz9CCYSale8dQZBmutZiRiGJs', 'width': 690}]",ChIJKTvV_YTvxUcRFC3JlIkX2n4,"{'compound_code': 'CM42+7V Haarlem, Netherlands', 'global_code': '9F46CM42+7V'}",4.3,ChIJKTvV_YTvxUcRFC3JlIkX2n4,GOOGLE,"['church', 'place_of_worship', 'point_of_interest', 'establishment']",23.0,"Medanstraat 32-34, Haarlem",8819682503fffff
OPERATIONAL,"{'location': {'lat': 52.4058517, 'lng': 4.647726599999999}, 'viewport': {'northeast': {'lat': 52.4072448302915, 'lng': 4.649220230291502}, 'southwest': {'lat': 52.4045468697085, 'lng': 4.646522269708497}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/worship_general-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/worship_christian_pinlet,Goede Herderkerk Haarlem,{'open_now': False},"[{'height': 2268, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116854738073173770801"">Ronald</a>'], 'photo_reference': 'AXQCQNS-ZYqDqqVgsoy8m3Wj-M0YxIU8iUpw-OwQtQ3-8gdvo0dQdVbzUBHnu-85PijzLZ6kjLpheQzEh4CB2Ry7DTez6YQUmQjiLAn-A31a5U1YGU6zFakQtCkb5G9Tvnq4M-w3YnKwJMyObUb7uovVuvow5njygxJrlc54dtB4kV4MAMNU1bX_Zl2yQk6xkTXF8S70AaHzJ6ZunkBFW4LgX-GSAA4Tq7vZ5HTcRxIkAiIXwX-uFmH5ZIfweMOFlj3t7gwziYDlhxopGQ8k70zcBbk-gIF4sr1PdQ58aH10G-ca-yTsQFuiXP11mup7bnd8gi3OvmqUA1p62m6_yPAuINNLh03hO0vzOZLpgOOnAG_Vmdddc-Yp9WM0repph_l5YaACKOckmL0Nh6hANZANgfPNzzxFHP66epm9gZK4nudutz-sswjxoU0JAy74bmoEdqCTDMfhpg1WiQzO2l_WB3LJRowamJQcE1wmKvlb5JnWZ6Bdf6mGIdpzKo10F6s8qYa9bP7d-TEU0r1aylz78popmFzwUcV48Fe5vRAZtaJEhehoz7mYujLFi7jJCMqJ654d-TBAu6wFb0zmw1uVt6uQqie6eNSPS54ldQkQNizrxXPPypu7ZAFa-K_LHTOQdOa3ukqUXd8rqm0pKYxBqmiNM3s', 'width': 4032}]",ChIJkeJko3vvxUcRj23Wk602s_8,"{'compound_code': 'CJ4X+83 Haarlem, Netherlands', 'global_code': '9F46CJ4X+83'}",5.0,ChIJkeJko3vvxUcRj23Wk602s_8,GOOGLE,"['church', 'place_of_worship', 'point_of_interest', 'establishment']",2.0,"Rechthuisstraat 9, Haarlem",8819682503fffff
OPERATIONAL,"{'location': {'lat': 52.40429869999999, 'lng': 4.645849599999999}, 'viewport': {'northeast': {'lat': 52.40566793029149, 'lng': 4.647216430291501}, 'southwest': {'lat': 52.4029699697085, 'lng': 4.644518469708497}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/worship_general-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/worship_christian_pinlet,Living Colours Muziek,,,ChIJyXrLe5vvxUcRZqcx2FJW9gA,"{'compound_code': 'CJ3W+P8 Haarlem, Netherlands', 'global_code': '9F46CJ3W+P8'}",,ChIJyXrLe5vvxUcRZqcx2FJW9gA,GOOGLE,"['church', 'place_of_worship', 'point_of_interest', 'establishment']",,"Van Egmondstraat, Haarlem",8819682503fffff
