business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,place_id,plus_code,reference,scope,types,vicinity,photos,rating,user_ratings_total,hex_id
OPERATIONAL,"{'location': {'lat': 52.35367, 'lng': 4.6469332}, 'viewport': {'northeast': {'lat': 52.3550429302915, 'lng': 4.648280580291502}, 'southwest': {'lat': 52.3523449697085, 'lng': 4.645582619708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/park-71.png,#4DB546,https://maps.gstatic.com/mapfiles/place_api/icons/v2/tree_pinlet,Buurttuin Texelhof,{'open_now': False},ChIJN1mgWADpxUcRFAPzZeROnxY,"{'compound_code': '9J3W+FQ Haarlem, Netherlands', 'global_code': '9F469J3W+FQ'}",ChIJN1mgWADpxUcRFAPzZeROnxY,GOOGLE,"['park', 'point_of_interest', 'establishment']","Texelhof, Haarlem",,,,88196825a3fffff
OPERATIONAL,"{'location': {'lat': 52.3554219, 'lng': 4.6478424}, 'viewport': {'northeast': {'lat': 52.3566572302915, 'lng': 4.649469130291502}, 'southwest': {'lat': 52.3539592697085, 'lng': 4.646771169708497}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/park-71.png,#4DB546,https://maps.gstatic.com/mapfiles/place_api/icons/v2/tree_pinlet,Romolen/heempark,,ChIJs6RKKwDvxUcRkEGTIXHcDZ0,"{'compound_code': '9J4X+54 Haarlem, Netherlands', 'global_code': '9F469J4X+54'}",ChIJs6RKKwDvxUcRkEGTIXHcDZ0,GOOGLE,"['park', 'point_of_interest', 'establishment']","Haarlem, Zuiderzeelaan, Haarlem","[{'height': 4080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108155334016497822775"">Dirk Hopmans</a>'], 'photo_reference': 'AXQCQNRlJWYhXpphnFh_-RhbJLQYQxkC-9S2_-py5VZQ_Vn_TVbWIYan9N9MYJDffO2VEUPlDvLHfXJcifPuQ-_mtYck4YIX0aPQtbOmueRoDXaw1_1LZxgs7TxaLQUTnWGALxpumLOdNrlojsGiOh4gEJVDgjT7WC1jGPk_uLMetVFqnCz-t6S-YOFqVTwHlZIfsg8w6sc3Ltq6UzPKEb1972_y5MBm0YE-buI2EJJA3hn6aCdU-82RSJgEEdE3Bnic2KBsOS7H2GzTaM_R1CLWUyshIeYTWpCNRilK_Ju4mIr6xppacLfEohu-ncZg0TTP9f21skYSx98l4AGNfG9jES9g5szY4z9DR-QuWs8hFOO9-3kb_AkQLKsfwmYF7IANyMmgbPr0nPMVDQPtIg883tgIPBCDRaPVxwUmChT9iBU4viikFc86KXcbqk3kTjZxcBUGT3ivzDFZil0ii9EILqLKLmg-LyRIVOEvsnbquxVcpJePxCwTBhISDwxtclvJ0IbTuRFun7r2pYkJ1ASlt3A7wQBTzEr2x3FsKUGJ4IKi884q01f5fFkfoNN0jGvp82Ml1cWUYSUBjOiw5bnxJwrHiv4cUo8GmrqvARDtVUmLlNYpHaK5UdqMw_QYF65oXf9UXQ', 'width': 3060}]",5.0,2.0,88196825a3fffff
OPERATIONAL,"{'location': {'lat': 52.3512624, 'lng': 4.648383}, 'viewport': {'northeast': {'lat': 52.3525988802915, 'lng': 4.649732680291502}, 'southwest': {'lat': 52.3499009197085, 'lng': 4.647034719708497}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/park-71.png,#4DB546,https://maps.gstatic.com/mapfiles/place_api/icons/v2/tree_pinlet,Hoveniersbedrijfdiepstraten,{'open_now': False},ChIJcdBbHJ7pxUcRIDt4qsgv6sQ,"{'compound_code': '9J2X+G9 Haarlem, Netherlands', 'global_code': '9F469J2X+G9'}",ChIJcdBbHJ7pxUcRIDt4qsgv6sQ,GOOGLE,"['park', 'point_of_interest', 'establishment']","Pampus, Haarlem",,,,88196825a3fffff
OPERATIONAL,"{'location': {'lat': 52.35423429999999, 'lng': 4.650721799999999}, 'viewport': {'northeast': {'lat': 52.35562668029149, 'lng': 4.652067430291502}, 'southwest': {'lat': 52.35292871970849, 'lng': 4.649369469708497}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/park-71.png,#4DB546,https://maps.gstatic.com/mapfiles/place_api/icons/v2/tree_pinlet,Van dijk tuin en overkapping bouw,{'open_now': False},ChIJxRdI6aXpxUcRM-9RY7l0yb8,"{'compound_code': '9M32+M7 Haarlem, Netherlands', 'global_code': '9F469M32+M7'}",ChIJxRdI6aXpxUcRM-9RY7l0yb8,GOOGLE,"['park', 'point_of_interest', 'establishment']","Waddenstraat 100, Haarlem","[{'height': 483, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104548861688655951053"">Van dijk tuin en overkapping bouw</a>'], 'photo_reference': 'AXQCQNR8ZQFIDbO7C-OPvPqWaH_swX9VmWoDG5Ga6pqtfHhDMQHB3mbmTwmaktn-mOnVeWoYTnWlvdRUTpU-dybwBiq5BC4KjI0DADWoTG-tR6ZLUpZqI3TDlA7DhuCaO2APxoHXa1QzeKIfR2Mhv6wRwUMS8G5o2ViFC-xzfKTY7WwqWuGxOUlySxUMIaZ_bNthIEikihkwdQpGMoaqL_c3JpXtwOzlzm1s6lCgTPBwxFHsgK3FAdZgdbxtAnssgSN3wgsbBs6F1tGaaZfoT8FipFXVr3iGgp5be_u1URRyxzeKvhl9SbKklNt4GC5UGw2cETOMmUhyBl0', 'width': 752}]",,,88196825a3fffff
,"{'location': {'lat': 52.3599116, 'lng': 4.6411905}, 'viewport': {'northeast': {'lat': 52.36466166352339, 'lng': 4.643735992976714}, 'southwest': {'lat': 52.35594894216415, 'lng': 4.638220013958998}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/park-71.png,#4DB546,https://maps.gstatic.com/mapfiles/place_api/icons/v2/tree_pinlet,Engelandpark,,ChIJfd-Q-k3vxUcRYBo41xja-Sc,,ChIJfd-Q-k3vxUcRYBo41xja-Sc,GOOGLE,"['park', 'premise', 'point_of_interest', 'establishment']",Schalkwijk,"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101334183850491547528"">David van der Vlist</a>'], 'photo_reference': 'AXQCQNS6RiliIUj2bu8RRhHdPADZtgysHSIxTnCC_4j_N44tkatCT_oiz3N9FprjWfEXG3wKQvn87LCZF30hAJUzyQN2agQIkSOOUsPmEnKhg8gN-IlD1k-RrPVY_Qh34avpjetyp0RJMU8Yk92nx5aYNSMmU77XuT06k3SfMnuZ-yMNocjz5RQdcdNMEHSMbV4wLhMRpkxlT9-qLttE2pvQjuLxLAw9wOcW-I2St6oLaK5uZcXM_MZEurkmGQNKDxssIyHcQ4jLHNmVAY4bNmQ0xzu4kcyxKBlqAyjLEP9wzOj-yKNBrSTLGc8q-5wnJHITpgqpY0cosPqjpbbd6MgThNBVoCt34eaktCWyqSe77s_pUonGAdHc0PbMGK8PfqSkscR6ANKoRWdpgNptMqTsC13Ua0tqYJGAA2Nw_VHnHYO9GNMT7IqE1rjcq0nGB32Ekcrp1Gdc1WVwAl_7Ba7M1yl83w_b0e1fO-AwDqf3q8xxiAHSEIB5OktacCRGYIxC0fcyLJg-Nt_wcqTaFV071SVoOnjmHYQQS4hIyBacgUQw978iNtJP8h86HlSGVxhmbBL_OwW2Ao_jb7A5ux_tx61gsJv78bACR79mpoGPe7aDe1O2WRvGRF11Z5GwaAWp8aubGSYY', 'width': 4160}]",,,88196825a3fffff
