business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,photos,place_id,plus_code,rating,reference,scope,types,user_ratings_total,vicinity,opening_hours,hex_id
OPERATIONAL,"{'location': {'lat': 52.3673235, 'lng': 4.666926300000001}, 'viewport': {'northeast': {'lat': 52.3687643302915, 'lng': 4.668165630291503}, 'southwest': {'lat': 52.36606636970851, 'lng': 4.665467669708499}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/park-71.png,#4DB546,https://maps.gstatic.com/mapfiles/place_api/icons/v2/tree_pinlet,Volkstuinvereniging Poelpoldervreugde,"[{'height': 1536, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102689754942598664313"">Anjana Menon</a>'], 'photo_reference': 'AXQCQNQWwlIzwD5Soe1waHa3kRX_Ko45PDY6tq84bN604R4n1sbRCQFW3OpT7itHtrjh1tZXoTUrndSNDjPVyG7Be3OXuPB3ePR4IxNOKwGFsc-0PbbUUxF9pVtJOkR6mdgNytCLwfjdKRzgO_GCCnDg23jY3CbuYeyyhlEgZD7F6X9RQ2Nuu0yjlGrcUleR4PYHkChfvNgTH-gwmxguFWAhYDnrhnkj5UE7XVttTzhynhi4KxgQizTXeo2bveGWgV4VdhjP2OjEaxb52AuxL923UGDqR6U5tGR_LD83CIookTVe3w89qBwqqKjLcAX-xvqFg1W1k3WTUSGGNW8-CZ9WozWXiQvEbXocwCRHoaGrncLlkE1phZ1cYE0oAFBsWc2-bPJBhdvaX4iVDMs2JjN7dpgWW5iJoaREismK-7MVtyOD9Rw94NxWyAejC5dBgs41B37-G2QuRobnw2M82jyiJFiHQMBvUli0nbInLKOMsbMy1PBu-CIzZag8S_GrXfccL7IL_MK4txCH2bJv7s_5SF0Vsd1MQi1z1P0lT6CtUW_Onm8Cj669DOWREonGPkIKJ69yBuX2Zkx6TPR9PNaZ0iWGFMx5pFQy2QMFUsKNZATX1bhGhfBEpSkPTlXfDA8qYd8-Tg', 'width': 2048}]",ChIJrYb-2fHlxUcRsQBMtrBTzgI,"{'compound_code': '9M88+WQ Haarlem, Netherlands', 'global_code': '9F469M88+WQ'}",4.3,ChIJrYb-2fHlxUcRsQBMtrBTzgI,GOOGLE,"['park', 'point_of_interest', 'establishment']",54.0,"Boerhaavelaan 70, Haarlem",,8819682581fffff
OPERATIONAL,"{'location': {'lat': 52.3618655, 'lng': 4.666861899999999}, 'viewport': {'northeast': {'lat': 52.36321348029151, 'lng': 4.668103880291502}, 'southwest': {'lat': 52.36051551970851, 'lng': 4.665405919708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/park-71.png,#4DB546,https://maps.gstatic.com/mapfiles/place_api/icons/v2/tree_pinlet,Secretariaat moestuin vereniging vrijheidblijheid,,ChIJWUg8ktrlxUcR1feF294HMF0,"{'compound_code': '9M68+PP Haarlem, Netherlands', 'global_code': '9F469M68+PP'}",,ChIJWUg8ktrlxUcR1feF294HMF0,GOOGLE,"['park', 'point_of_interest', 'establishment']",,"Professor van der Scheerstraat 45, Haarlem",{'open_now': False},8819682581fffff
