business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,photos,place_id,plus_code,rating,reference,scope,types,user_ratings_total,vicinity,opening_hours,hex_id
OPERATIONAL,"{'location': {'lat': 52.385379, 'lng': 4.662705000000001}, 'viewport': {'northeast': {'lat': 52.3867612302915, 'lng': 4.663950530291503}, 'southwest': {'lat': 52.3840632697085, 'lng': 4.661252569708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Tuin Totaal,"[{'height': 720, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107485078781439944358"">Tuin Totaal Hoveniersbedrijf BV</a>'], 'photo_reference': 'AXQCQNR6H2X8jnw3LHKrx_ksZNkJpC7bt6IfptiCGh_KI72gQNDYX0cINfDTQElzbBkUrt_wOYWqm055_ND8lgPUgvbxoEQab1sHnfSyNVNmYd19S963ZJs1aouMLw-hB9OPHSxwxoIsCDmp_ej9X5a_Lh7wOkh5JrY15BEm6XKkD_YM-kDmo_bp7A5IA_yjSLerJ4b7T5o-5eujxfzYIRPZksXDCaU7GivJnuI80jj5xHpiIh4-RrYgeBDtB2peIJ7bpbV3taePcYbZtE07bCz3e9lroNY2RAc4_76mbGnTR-XRF5S6y_I_jBdT_R4ktK6hq7W7VmAQDsY', 'width': 960}]",ChIJHerjiojlxUcRC2vJu8aYVf0,"{'compound_code': '9MP7+53 Haarlem, Netherlands', 'global_code': '9F469MP7+53'}",4.0,ChIJHerjiojlxUcRC2vJu8aYVf0,GOOGLE,"['general_contractor', 'park', 'point_of_interest', 'establishment']",19,"Oudeweg 30a, Haarlem",,88196825e9fffff
OPERATIONAL,"{'location': {'lat': 52.38496349999999, 'lng': 4.6637692}, 'viewport': {'northeast': {'lat': 52.3861816802915, 'lng': 4.664927480291501}, 'southwest': {'lat': 52.3834837197085, 'lng': 4.662229519708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/park-71.png,#4DB546,https://maps.gstatic.com/mapfiles/place_api/icons/v2/tree_pinlet,Meijer Hoveniers,"[{'height': 576, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113402637983760168464"">Meijer Hoveniers</a>'], 'photo_reference': 'AXQCQNSTI-7Z8Rxir6YF8nRZyUxGYV7s2StC0RHxfA3pgvWFM11mrkPz8-2ntmtrU_NKUJiHZODdQsnWTvddswj07l_7vyDX5pjDDJWilv0psi_J75u7G2RQtujckU1Ii-kaaxErfYiDS3UtHcHKVDivmH4vRL8mu694SIVJ_iDWBZ6J7OfpL39tmK0jjcJuPePDMSN3VxjNVYvu5ZazL-43XsbqEvyJWBJHYAvSyt-qudK5AzcGqkFEqFD1W8xS1dX_aZZlgly1k9CTUr35TEgHYifBW5gXlguxZ-h6rPz-DFhinrky-K5EkFK9Dn99UuGGhBT9H0VLt34', 'width': 1024}]",ChIJFelz6YjlxUcRRxOpsd6UB5I,"{'compound_code': '9MM7+XG Haarlem, Netherlands', 'global_code': '9F469MM7+XG'}",3.9,ChIJFelz6YjlxUcRRxOpsd6UB5I,GOOGLE,"['general_contractor', 'park', 'point_of_interest', 'establishment']",10,"Palletweg 38, Haarlem",{'open_now': False},88196825e9fffff
