business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,permanently_closed,photos,place_id,plus_code,price_level,rating,reference,scope,types,user_ratings_total,vicinity,opening_hours,hex_id
CLOSED_TEMPORARILY,"{'location': {'lat': 52.38750580000001, 'lng': 4.673423300000001}, 'viewport': {'northeast': {'lat': 52.3891186802915, 'lng': 4.674368080291504}, 'southwest': {'lat': 52.3864207197085, 'lng': 4.671670119708499}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Het Veerkwartier,True,"[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117527027471230796731"">Het Veerkwartier</a>'], 'photo_reference': 'AXQCQNRc8Ct9XA6b-j4gcWgD5zjpJ9n_pJ8-9gIvpjpkPRTMBwYTJcXva8TNLohxwUaJOBmBdrBaLhYBYBKHQZiZTk1ri4WzmqokxwdIVaEMiRTOUT9bQrZq_8fJs5WhX7C4RgpTHMT9SytteiFqnNr2xVeW2ReyVbyZeFNt4gD7txDmanCldwLlCadUxaYnCDCNHg1FC7ge5oVYgq6OdZxbfG9alsFId7BcNy8u1BQifsn-b9sTX_zBCwi2YkkEUI0vg5OEUm3GhSJFjtHHzRJsS4Y1Dz2Kr6tA8OeWpyUVQISX9P0J_TQWPj7oCHRcxrjcIUSwaK9VMgE', 'width': 6000}]",ChIJF8ASNoXlxUcRfuOw-WSrVAQ,"{'compound_code': '9MQF+29 Haarlem, Netherlands', 'global_code': '9F469MQF+29'}",2.0,4.2,ChIJF8ASNoXlxUcRfuOw-WSrVAQ,GOOGLE,"['restaurant', 'bar', 'food', 'point_of_interest', 'establishment']",902,"A. Hofmanweg 62, Haarlem",,88196825c5fffff
OPERATIONAL,"{'location': {'lat': 52.3817872, 'lng': 4.668987799999999}, 'viewport': {'northeast': {'lat': 52.38300763029149, 'lng': 4.670333980291502}, 'southwest': {'lat': 52.3803096697085, 'lng': 4.667636019708497}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Brasserie Oostpoort,,"[{'height': 533, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115864473660768548050"">Hicham El Kaddouri</a>'], 'photo_reference': 'AXQCQNTOsWp1WZVMz1bfGsVq_U_gRQ6aNve5Q1h3JOQGs9XoQ8ZK9KX3VpuldYrGqzxjkUXA9UKruTu-Tjf2cLqU3xBReps9Olkcx8ASoy3kqfgKnrz66R5JaLPakXgKzCjiX_CL_2FzMVi0GVyxWJPPvRfapddczNfCi_rfh5lhEllPdSa9aKpwIexIx9KpEOZ_th5IponqDC4Na5qwy0t2u9FY9ETtvekdHazs5AUTCpc9M1yhpRKwfq90dqG_Y7Dts07UgfIkWcm_RXFwS8iqc6NUyby_YRCOSY06V4cRHh-zVG0I-AhQb6eHBdpbrNrekr3WM7tXrke5s7LKIqIsRs83q0NDvdDd1gIUneoqE7OQHUrLQDr-xhFAMnQBeqPc9G4GHr4PC3poOqnqSoVTIlgu7kcZi_gdZhpPpT14cZQ7W0z0DAyO36dOyZ1efvVz7LMBv82_siTjo7p4UIdJpAa86Oe5AYiq8suLmKtQUtkXRnArJtG1IQZntV00gYos1VhFdcJx_kpGHqzoJ4c-x81V5t3zyFBgisayt3jwYXR1_jyE5h4vDD7QnmVFYT3UlDM0WJTVXderpX8MBaiWhde6lFgoYcojnfFH3JYVYggS_3OEHZAcp_lvXXj_8YCh7VFpzg', 'width': 960}]",ChIJ5U5LfI7lxUcR6ehQzZo5maA,"{'compound_code': '9MJ9+PH Haarlem, Netherlands', 'global_code': '9F469MJ9+PH'}",,4.4,ChIJ5U5LfI7lxUcR6ehQzZo5maA,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",35,"Diakenhuisweg 1, Haarlem",{'open_now': False},88196825c5fffff
OPERATIONAL,"{'location': {'lat': 52.3846515, 'lng': 4.6691246}, 'viewport': {'northeast': {'lat': 52.38629303029151, 'lng': 4.670604949999998}, 'southwest': {'lat': 52.38359506970851, 'lng': 4.667840750000002}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,IKEA Restaurant Haarlem,,"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116496789587906828896"">Gary In Amsterdam</a>'], 'photo_reference': 'AXQCQNT3VHqPm-aSPXgKKOFHQbWUzHBsEA4hE-JFsovA9-v3FssdQMXwayMiB5vs5gLY-Ayhyl4xla2wdETD9dTcx2yrlJDjp3MkBPPdgtHMOxfvJo3rdDEzY02VJA47UYayoedcCN9rhERNJkLZHY-mj7aDiGwZ_J5oJgImau4rm_jdrt01ez8FZmTaEVP7mgQRexP6B_L84Dr4T6eQXbKVzJq1nItXNU9_jZjmR_p0IbPALZ1TeSA3imcbaMplu7247YpPLOMfMUBCxSnM8p-1eBOP6k5yXufkNoq5ip7M7uWTffYRS894IRelIsuPJLra8CFRrGTiEm3jXrWtK_j-zum4RuoUFJhPjhwvWl_tSlxYiMcvgvBUSMk2jhaA8c6V7mAsSmqMwvVNQj_UqoP45JdpBTlugDw6GMeGf1_IeTyul3WX406-JyPz_EEeP0DOnQ1pEQw0GvjkMXoz2WoRVhX1P0uvogoDgQJw2uhBY8Fwe2ExcYklVhX3argUTXx7MsSEpRGgPEm503Mth6PNvtCaPzwHE2PFMIdVMBL2a_DPJ8yzcOYHLENPeaPe7UIp3OzTJBCTbkZ9C0y0mAUV62MboS3Ezyu3tPxMnTk9eVbhFqy_vhYXoWwJstF-1mAX', 'width': 3024}]",ChIJ_73UgjzlxUcR3toqQuz5gMA,"{'compound_code': '9MM9+VJ Haarlem, Netherlands', 'global_code': '9F469MM9+VJ'}",1.0,4.1,ChIJ_73UgjzlxUcR3toqQuz5gMA,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",53,"Laan van Decima 1, Haarlem",{'open_now': False},88196825c5fffff
