business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,price_level,rating,reference,scope,types,user_ratings_total,vicinity,hex_id
OPERATIONAL,"{'location': {'lat': 52.350643, 'lng': 4.675674}, 'viewport': {'northeast': {'lat': 52.35202083029149, 'lng': 4.676948680291503}, 'southwest': {'lat': 52.34932286970849, 'lng': 4.674250719708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Het Graanpakhuis,{'open_now': True},"[{'height': 3715, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102035750115228578751"">Het Graanpakhuis</a>'], 'photo_reference': 'AXQCQNT0tFvrKo596JICPzfxj_FSpXqk4W26y3BoR7gDWc338P8hl6mTFuSuVKN85FnusHaSlNR55uMWHNsHPyRr7cw49niR0zWHtIntX01aJJ_AuAqBPalCRNVZj1vAsaiTYwVqLSGHkjkULtrnVdBt2_sJg1Dfj4zdLoVmLbfmJ9zwg4BEohLNU4Nh8Qru1JTi1ZEevLnX_xhjev4B5yMkogZGbudHGfCaq7WC25V10va5jhYiRrYe3S0rm6J9lZcy_V-HfYYGQvDjPoCOmIn85HUi5FO6Uut0YX22L3DjTyLfBxhCDNalqMf4dVnFrWGWl9QxxQmN3kI', 'width': 5573}]",ChIJHzPIpAvmxUcRH65-s_NFeMM,"{'compound_code': '9M2G+77 Vijfhuizen, Netherlands', 'global_code': '9F469M2G+77'}",2.0,4.4,ChIJHzPIpAvmxUcRH65-s_NFeMM,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",300,"Kromme Spieringweg 458, Vijfhuizen",88196825b9fffff
OPERATIONAL,"{'location': {'lat': 52.35324279999999, 'lng': 4.664003399999999}, 'viewport': {'northeast': {'lat': 52.35465553029149, 'lng': 4.665484730291502}, 'southwest': {'lat': 52.35195756970849, 'lng': 4.662786769708497}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Wosubo,{'open_now': True},"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/118014963774074606492"">Wosubo</a>'], 'photo_reference': 'AXQCQNQ7mf0ZGMgJmq2lFTwg35rHIfbxSGMtVErjX6qPjYE5KwydORSZnRC5RZChHbf_F9AHZVUIrjha9Lkhc6zEAjr1pNLTlcmhECBl7ivPIurKISLEUTi7Za84v6Z-IaFO2P_TwqBmQC7sRdXD55GaDODwgC_dUxZYXWP_4cU3RgJHkUetp-_9ipExZRjle3p0Cr1h3GDTTL1zdqc5O-v3Ppzy21fW8o-u2R2iXoQFpEtqF-gFFK0NtGXbtPZR0R_9VINgnve6jhpFJF9jCAUD6EX337GHTPk3Q6kna4JlNXrNxTaQgpPxIZH3gch5WgjKzevGRDH48bU', 'width': 3024}]",ChIJK2Tz9IDnxUcRBSieC6aQg1A,"{'compound_code': '9M37+7J Haarlem, Netherlands', 'global_code': '9F469M37+7J'}",,4.5,ChIJK2Tz9IDnxUcRBSieC6aQg1A,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",94,"Bertha von Suttnerstraat 2, Haarlem",88196825b9fffff
OPERATIONAL,"{'location': {'lat': 52.355716, 'lng': 4.664533}, 'viewport': {'northeast': {'lat': 52.35706843029151, 'lng': 4.665820830291502}, 'southwest': {'lat': 52.35437046970851, 'lng': 4.663122869708499}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Lina Snacks&Grill,{'open_now': True},"[{'height': 2160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102448196766997415410"">Wichert Van Der Mel</a>'], 'photo_reference': 'AXQCQNQ-IPU6vpmFVn6ERouehqgVOKyq3XF5ssJj1pQhxFMXRJ9hto378ENVouzSOtion9uWtlhX53TPRm8F9ak6rqMk4tq84xtVBMIkR6kAQKnp5ULfsdsxyOiPY9fsK3jOWSYymEnCNJotAfcPI182lQBUrb44Lc-_defd1i1jxGAAUnDQW2AGWY8vZFLe97Z6KP4-clfl9sLBHo8Dmec33k3le28DhQYfKKB9yPYva877iEaRzxdcl27sX9zOyfee607EJIbBVnmQAssZ6L4j7gG2CWOCUXkn36XioA0q3dDhoQyTldv5W9zN6FQ0WYJWUVCQMORUA5ew3_d1NtIBkBxsdlsenQrrZyp23ZH9TOXMJOf42yRvtIHuSVQS9baZoNiRCVxHlyy271LMbBpCuC-c2t6Lp-mudvYcln8LDaml9rMHxImbPZCh9SG1xoCDlRVI_xMWGxN7CXD-Z910cX6y--WrM1PmqkkGzKF3TEbMijC224Qu0dkJnuAomb3dQZy8Zpheh-8ULYYLdF0zWVHjUqvNX6an4LgtyO9YSxqs0FiMA7w5PTcaUlKbtJ80XUsureTERCVW7aABzeKySf58fUT22Ze2NNULgCiUr04JKwt96l2EaTyIsyutDpEhNbOjgHzd', 'width': 3840}]",ChIJRQ7Sc_3lxUcR2gnFLJuoAUM,"{'compound_code': '9M47+7R Haarlem, Netherlands', 'global_code': '9F469M47+7R'}",1.0,4.0,ChIJRQ7Sc_3lxUcR2gnFLJuoAUM,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",133,"Bernadottelaan 195, Haarlem",88196825b9fffff
