business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,rating,reference,scope,types,user_ratings_total,vicinity,price_level,hex_id
OPERATIONAL,"{'location': {'lat': 52.37830510000001, 'lng': 4.662570700000001}, 'viewport': {'northeast': {'lat': 52.37973403029149, 'lng': 4.663964580291502}, 'southwest': {'lat': 52.3770360697085, 'lng': 4.661266619708497}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Wereldkeuken Haarlem,{'open_now': False},"[{'height': 4016, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104861350697087182143"">Wereldkeuken Marketing</a>'], 'photo_reference': 'AXQCQNRHQJHK0Rv6UDuxaWLczrs-jOPzU-JRQhcGO7rS0jw1JEMnpKF0W77XGS5adfLUeIn3loWkHcTM5jHVY1V0lCSdpUUPyIyr4wtNa05Y4sRr6AiEJi5FY3x9k0j3zirkP3iascTWdlcmRtb7fylYMrOhHBc9kHZJdT4lZgBEFU2YlDt0DVfJzp1xvgCjz2xvXVyPEWzFqIUU9ggZWsw80zuQH2VFq6hgys5y8vEnEOma_LtyzEjpaQK5_XRY0Iy_wtLm158Ss_1pt7u_9vvyR6Yv0mPh6zpz3l978rVD6CGbh2RHGOoNSeFNSS_N95R2yp5T8G4brJuC_IWTdubrhL8SzR3pPBf4aNXyPKReLn6_JHXuKQB4k-8slAZe4hIFBSjsoBhVlpIxTd8-_NF7WNlItO3mDdWTrSBnd_fUHHMI-0h8Jstb-o7l56kvfDd7PuQqCNuoWEEJjLWTYkKTk54kkQs2apxhDix5VLlAGlPcrGmT4Hw2k7QZQo5i0Hac7A_D1KscqeUvrkTy4nOUsei4Cmlag9UOeyzv0A71kpERSdon63fkTDxFedicqYsdPo8tb5GQRBvMFdrWku03ckYjJxTPfPNGxSQngpiF_EKAn01u2f-N_24k_nuu6AbEgmYDECSV', 'width': 6016}]",ChIJzyZ7oGzvxUcRpVZIrbePciM,"{'compound_code': '9MH7+82 Haarlem, Netherlands', 'global_code': '9F469MH7+82'}",4.7,ChIJzyZ7oGzvxUcRpVZIrbePciM,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",25,"Prinses Beatrixplein 51, Haarlem",,88196825ebfffff
OPERATIONAL,"{'location': {'lat': 52.3817872, 'lng': 4.668987799999999}, 'viewport': {'northeast': {'lat': 52.38300763029149, 'lng': 4.670333980291502}, 'southwest': {'lat': 52.3803096697085, 'lng': 4.667636019708497}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Brasserie Oostpoort,{'open_now': False},"[{'height': 533, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115864473660768548050"">Hicham El Kaddouri</a>'], 'photo_reference': 'AXQCQNSpYGHuBkicGXpEHkTOQo5ynH20UakrTO0ym2qZfZI7Ua3kNdVLn86X8BvbQc7zKt-m6fdbuMphHt61YnNrTHcWwpNI691kt_YC0TsBw3O4uuKsjSYuCOTizjJdhZjbN8qB8JvLvZ4By9LITq1qLTfl7eAccUiYSkU6QbcFbh2K10AZBILt14zXKFTwGXXgIn347Zk_3HpIHpX9v_IIyQaafGDVXzslGU3G7p9NLpPVOAtT_0466Zir2hD8gKoZy-haOH-w9zOT6yIgngyeCNA2jimkrVCllRUWQ10BTlFB8I-4FXy6qv5f3SjyvYeLZrKTfVDmR6sLdHat1UtwhWBtvaVShuIyQh6sCUGhIM_9Sp05TPVnelr9vZgms9xFKPwWUd-ir2Sr5Kblqh0yOFBB1N0FGkNO5Lp4Yg-bly_NqOiJdlzgnJ7gbsolX4wWYNJAvkIfmCQXCZNYuWPTrkQOA7-MFH4RZNTFM2oUzD0TYp4SV2if8K5hXNAvFFsd45A19AdYIedKE5udFXd0SzWj9pUbTr0mxr0XoT-2S16j7tHEZigiM9fVm1FQvn6d-h4_95_Vun3VcIlUCw3iX5QMxet-yolPTx6CB5CRwYfNEmxg0MMAqHgNgad7X5EGr1aL1A', 'width': 960}]",ChIJ5U5LfI7lxUcR6ehQzZo5maA,"{'compound_code': '9MJ9+PH Haarlem, Netherlands', 'global_code': '9F469MJ9+PH'}",4.4,ChIJ5U5LfI7lxUcR6ehQzZo5maA,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",35,"Diakenhuisweg 1, Haarlem",,88196825ebfffff
OPERATIONAL,"{'location': {'lat': 52.3783336, 'lng': 4.6624611}, 'viewport': {'northeast': {'lat': 52.37978003029149, 'lng': 4.663722630291502}, 'southwest': {'lat': 52.3770820697085, 'lng': 4.661024669708497}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Steakhouse grillroom Royal,{'open_now': True},"[{'height': 3648, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107639141155122053205"">sam</a>'], 'photo_reference': 'AXQCQNRdC88ARJNBuDMLu5NRAEcD-7A4yV-PEMX3dU10pfybpiSWX4SyhSKCLqrshm7nQTii-6d8XgIjtQqVhof2zoVnVmZQuB9aysuyn2GKNUKRMJVVvZm2cYhuoe2PrmOWZ35LDlo82kmroDdul0hy2FtS3V8LtWx905XVVKVy2C8yQsEPxF66-gDyLD9XtpcSpR5fBcYZRFgYJNNZ5DExsOz0RSvanJ4aaSnQePtInyg27S424CKM1bcbpgcd5UvemXaeaR0JyWFTDQQS3C3Z-UbmyaqO3XLdrY1U5eDh1FEPhvwHKZyPUiK6aCweS-KTsgztiGb9e4BelZCNtKVa48rDAS074zM1hnqNq0-gISeL1-k7c_FGWAzj-lLeVRDeoobNzrjzq0SIs0E3fjT7B04aiMke-gT0D24weLvA4XqlsZM7Im36BD8Pr-hOP9hMtnfxlp0zdqHH005UQII7bSQ-c5LWqcB2g7fp2SjeTCOvQm92OFF9aJshoVbZV-2nK9vPVLxJ0YdqE7lp8Kr7w9BoO7Kql6D5If3mffOa4PC7l4tGQmwkJ4_zQfKEA_uTscTnSiUDoXHcdIi_LHSvetYvREOhCD3Xn6cx-7ZbhLsp_qG__gQ1ukvaQfFu9U9R1s_CLw', 'width': 2736}]",ChIJ34DQDovlxUcRLckgkWzR1zA,"{'compound_code': '9MH6+8X Haarlem, Netherlands', 'global_code': '9F469MH6+8X'}",3.5,ChIJ34DQDovlxUcRLckgkWzR1zA,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",120,"Prinses Beatrixplein 43, Haarlem",1.0,88196825ebfffff
OPERATIONAL,"{'location': {'lat': 52.38128519999999, 'lng': 4.660438599999999}, 'viewport': {'northeast': {'lat': 52.3827057802915, 'lng': 4.661852880291503}, 'southwest': {'lat': 52.3800078197085, 'lng': 4.659154919708499}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Jin Lai Restaurant,{'open_now': True},"[{'height': 1004, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116934340649390951562"">Sonale Guimarães da Silva</a>'], 'photo_reference': 'AXQCQNQJNK-HUy0TNQTQ7v8C855rpHjida1Q1iJS9zcpD-oEh2A_nqqWoPfqck2XNPY8R_fvEPw9YHG9McmS8lBPD_eKEvMdLvZodvfUCzsAiTOgSr6BkZSd9Lga0wwCVufxc2B2wFHezcQZhPbh0P-Z8_UpnC35a8oUsqH5FhOfRv68_gNekh24vkaaeKv0JmRGuiN5kTkOA1pthskysuFsz3ywUvd-TrI_T7ZyirfCjGwvzExyy4RKUyYJYJR9CgmeHROCsTAvUUWT8KAKwhUVZLI9i3enQ5kLZiTS2VONSNTGbES7RLCNGhUX6ZaF_1YB1USQOd2pZNbIeE-LnaJSbwdiawzSeEawE1xQWbfQztWxVCs7GUwk1b8HETIjB4MSmFmeM60JNeKuYU3cCPnH9eEm7JCB65OR2Uy6KYEOgVy6jC6-9drUciE1CFx8DJd8eOPTi0aZpV82YJpNrVVMBPb0ZPzCAyhwPZayiIG0YWOo33sOJxTeEYdp9fqf14iIBOiACnMZnnCPzQ3gxB61Zarqh-P-Jp9A8zC1kmygQIgdMwsg8jXWt9drYG4cnD-p_G7nNV5tOzC5tyUWknCUL1N6Cigk7Fp67q52Ab0FOkyEYqB87YlmvjS14U94U4HJdgDps7vZ', 'width': 1600}]",ChIJsRvgIIrlxUcRL3SY1AnpJuI,"{'compound_code': '9MJ6+G5 Haarlem, Netherlands', 'global_code': '9F469MJ6+G5'}",4.3,ChIJsRvgIIrlxUcRL3SY1AnpJuI,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",2419,"Prins Bernhardlaan 2, Haarlem",2.0,88196825ebfffff
OPERATIONAL,"{'location': {'lat': 52.3783045, 'lng': 4.662617300000001}, 'viewport': {'northeast': {'lat': 52.3797331302915, 'lng': 4.663980180291501}, 'southwest': {'lat': 52.3770351697085, 'lng': 4.661282219708497}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Stichting Turquoise,{'open_now': False},"[{'height': 3333, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117704949779912699697"">Stichting Turquoise</a>'], 'photo_reference': 'AXQCQNSy9v6LhTV3Y3PYgtu5W8yb3JNJHzinbb8CLKcfi48driuuP6OVTRsfdm1wVGTHsd_pxtkrjpUjfOwzar1bv5LgpBZyawjqB_6SoiBtkbAFJ2ldUZpHG7DkZu47zATrxCUcr7BSU5HlERNGTnPShojKzoonptg4J9zbvDsBWQllODgVSPSXEB79-TbsjXCC6vAv4OU55cox7ZZO3wuwpsOwsJaSYsD0jJs7bC6UIIOMHae3iGYsjsBWWTlgFxjCQJPWZ0fkKtSmrIG3bx8u_fy50COrg-IpBkbhP_JGGqAsrMnRqR8BOebzx1MXsucbG0OaycggKJA', 'width': 4444}]",ChIJxVE_DIvlxUcRkkpoq-C3wy0,"{'compound_code': '9MH7+82 Haarlem, Netherlands', 'global_code': '9F469MH7+82'}",4.6,ChIJxVE_DIvlxUcRkkpoq-C3wy0,GOOGLE,"['cafe', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']",103,"Prinses Beatrixplein 51-53, Haarlem",1.0,88196825ebfffff
OPERATIONAL,"{'location': {'lat': 52.3788377, 'lng': 4.6595882}, 'viewport': {'northeast': {'lat': 52.3802713802915, 'lng': 4.660968530291503}, 'southwest': {'lat': 52.3775734197085, 'lng': 4.658270569708499}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Dilek Chicken Haarlem,{'open_now': False},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109620046661948928681"">Dilek Chicken Haarlem</a>'], 'photo_reference': 'AXQCQNRj-JRzJ3w6NoqKz_XzDic2vJufdqT7qwbn4OwYiozRiV8EMnYtKpLlkd9G3dUMtVFdXAGswXd0a_IxzLf0uRlrKp5QB1iLysUxlzYedg64wDx_UBzweD0b2BatxCv5MpQfngXW2d1JjUUHt6UgEQx42QpGIs93WnykThy8-bjlbbGSVGA0CPa4hO3P0feoPNvpB9LB9KKy92bYVDlUkaT9Yw5971aK631YlTm9Y4cgYRIpFuyV5axACBEWxpmu5ong1vF2zIDlVlFUZW8g2ghdwcu1lnitngzzZ563XWDEIC3xmu5BFe3E2MkrwZoTR7XyUceT6WA', 'width': 4032}]",ChIJfQzXPwrlxUcRpvs93deo4ig,"{'compound_code': '9MH5+GR Haarlem, Netherlands', 'global_code': '9F469MH5+GR'}",4.5,ChIJfQzXPwrlxUcRpvs93deo4ig,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",103,"Van Zeggelenplein 131, Haarlem",,88196825ebfffff
