business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,rating,reference,scope,types,user_ratings_total,vicinity,hex_id
OPERATIONAL,"{'location': {'lat': 52.3544031, 'lng': 4.645871799999999}, 'viewport': {'northeast': {'lat': 52.3557200802915, 'lng': 4.647244130291503}, 'southwest': {'lat': 52.3530221197085, 'lng': 4.644546169708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,The Sandwich Hub,{'open_now': False},"[{'height': 424, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111441419519486194960"">The Sandwich Hub</a>'], 'photo_reference': 'AXQCQNTQy5fljZYBj6VId3Juj14HpbQ4cQD8PATsIFixk4zUjMPJpyGIpJ0ScrtYZSw8rzIxtrtiGXKigAImWEbiFtk_6QUz7aaceQbjPV_XS47J8uFzLilrzsesQxEX6qgd6AIiGrantQK2tsUJYmh_Gc52YczlyI_UhekW1qlppcNa9y39w_agSexh8NupjqUctGEm-QnKR5_J18rc7in2NbEX5R8XkceEkWpVG4A147jKimIlBuQuogdM7Y1CBk9uEjA39TwU4qGalZMzyvGlX_8EqRHK7LFi8jZOrm01BYKZxbpIwa-mWdi1P81cejvuj1BeYzoRBKw', 'width': 555}]",ChIJqcJkFSfpxUcRcOpGB33vAcU,"{'compound_code': '9J3W+Q8 Haarlem, Netherlands', 'global_code': '9F469J3W+Q8'}",3.0,ChIJqcJkFSfpxUcRcOpGB33vAcU,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",12.0,"Terschellingpad, Haarlem",88196825a3fffff
OPERATIONAL,"{'location': {'lat': 52.3550412, 'lng': 4.642292299999999}, 'viewport': {'northeast': {'lat': 52.35640463029149, 'lng': 4.643639930291502}, 'southwest': {'lat': 52.35370666970849, 'lng': 4.640941969708497}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/convenience_pinlet,SPAR express Haarlem Europaweg,{'open_now': True},"[{'height': 608, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104604778510252730173"">SPAR express Haarlem Europaweg</a>'], 'photo_reference': 'AXQCQNRX4HOSkuGPgFmT5ih8jPllI8T9N8ymfpXQLEJ93zRucSG3N7W902kCXR34hj2rxSn6PdM61vZFyHpIRdVWWjINwtYxwUtJxwZmxiilyC3ByaXTE7jteR6hWj91MoWc20yspe92DrrrthklsCX59KWGmKwaaUQI4904eyj4rNA3pwJZ6y_NgyPFlCrFADjmFu0U28D-031VM5Ock1o-0P8b7YK_DNHo-hKniWl3tsqoRFW3fU11B_SwVbGXCv072agyN9t7oATm0vGSFoBGPFMuZfYjI8_LLyyFbLxWNhvo11WwWGeS-XAPX0CoyQIoDwCucKmtwc8', 'width': 1080}]",ChIJaXY6QyHvxUcRFZIdPgVk8uQ,"{'compound_code': '9J4R+2W Haarlem, Netherlands', 'global_code': '9F469J4R+2W'}",4.4,ChIJaXY6QyHvxUcRFZIdPgVk8uQ,GOOGLE,"['convenience_store', 'supermarket', 'gas_station', 'grocery_or_supermarket', 'restaurant', 'food', 'store', 'point_of_interest', 'establishment']",11.0,"Europaweg 4, Haarlem",88196825a3fffff
OPERATIONAL,"{'location': {'lat': 52.3527073, 'lng': 4.650717000000001}, 'viewport': {'northeast': {'lat': 52.35400128029151, 'lng': 4.652084230291504}, 'southwest': {'lat': 52.35130331970851, 'lng': 4.649386269708499}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Snackbar-Amon Schalkwijk Haarlem,{'open_now': True},"[{'height': 1419, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112138374487681621152"">Snackbar-Amon Schalkwijk Haarlem</a>'], 'photo_reference': 'AXQCQNRXjiBDd9KslYI5x80eBNQLBzlpkzpbYGhXuO5hSn0IQcBuEvJOyzjuuwK99BhQdnC7j-PLEEdWLKR0134KdV5LrF5u-rxyHIQDr8XjWUqQS9GPvcQPop7WY5Ey3Ln2_Z_AHOQPIPQKnW2qg6UGZ-FM384x_Cwgw-qg4iXtMYtIqQ9_1BgZaWPAsbxGVB9d8d0Lc2fB_bzWqXMQ8-xVs9QqyGWBj79U7o-aMh96daiYybXbB5h42uoUBr4fLJ4WNSIRD0_8KbIiHnp1OTL5DmCH5jGTpwTc2uwCT4dvxrTXObQMS11SFvfHyQ5hiygxPUe2Rwm30gw', 'width': 2232}]",ChIJtXWpeZ3pxUcRHX06RMFc1Z0,"{'compound_code': '9M32+37 Haarlem, Netherlands', 'global_code': '9F469M32+37'}",,ChIJtXWpeZ3pxUcRHX06RMFc1Z0,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",,"Frieslandlaan 7, Haarlem",88196825a3fffff
