business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,rating,reference,scope,types,user_ratings_total,vicinity,permanently_closed,price_level,hex_id
OPERATIONAL,"{'location': {'lat': 52.39278, 'lng': 4.666610299999999}, 'viewport': {'northeast': {'lat': 52.3940858802915, 'lng': 4.668132380291502}, 'southwest': {'lat': 52.39138791970851, 'lng': 4.665434419708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Restaurant The Crown,{'open_now': False},"[{'height': 801, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104961985046056950891"">Tony LUJIEN</a>'], 'photo_reference': 'AXQCQNT94J6wHoWGTCf0MIhEcAAYKouhchcEwKSMTM4LsKUHCXMO5VgPTQ1V-ZZkUPxB3KVcE2xSpaT2wd8noYyixBwlAeUPBvXGGtAdyGSRPA1poM6Wg2egm8ObTjOj9Gtrv8vHKe8xt86ZCUXncPbS8Nbq8o4Eq1s-sl1BKG2Ivnznz3woWH7NIBHv043tTPkfRU9qnLRiWFid9LsK9el5h3LlroJ-xYhd_Gf_-GrX5gP70JoN8sH0UbpMuBNlqisLforWGMQIIQ_jvjdJrGOBnkal_7DGEiA4HtkVpQQmBMiwv8P920-IF7n0vQkIn5Dwfl0ehCqiw56rhP5O8Jvdr4V7s5Ht2N8HwJ_jUwpZayH9DXK5gPyqCz0zsN8d5UW02DKQFtEB-ZM99HRCxFFGnKIXcNoGzMIqJ2n6dhQqM3epADYjVzJn3KqZyPNeZIxLgZKWvkAup8Af_DHrI0wlVEYTigDrgiX9StGRnD7e2zuCUQBsurNrjef98jzkZpejAOar8RB_DFvPTVRXMTTyAG2fh_tsjC1AhEfKc-2GYqrazk5YD9FJfUD6Q8YbCrsWSSfGvISqngdI91VKjo4ulhIGypG_-QnWXCPkUQawfA0AFfzIiZx7Bs2oW8d3Jkl5VMTCSnup', 'width': 1200}]",ChIJrdkdWYHlxUcR8JTuwFH1ZEA,"{'compound_code': '9MV8+4J Haarlem, Netherlands', 'global_code': '9F469MV8+4J'}",3.8,ChIJrdkdWYHlxUcR8JTuwFH1ZEA,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",4.0,"A. Hofmanweg 5A, Haarlem",,,8819682513fffff
OPERATIONAL,"{'location': {'lat': 52.3883545, 'lng': 4.667151400000001}, 'viewport': {'northeast': {'lat': 52.3896879802915, 'lng': 4.668430780291502}, 'southwest': {'lat': 52.38699001970851, 'lng': 4.665732819708499}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Q-LI OP TAFEL,{'open_now': False},,ChIJlSnDxIXlxUcRxuthRAyEC_0,"{'compound_code': '9MQ8+8V Haarlem, Netherlands', 'global_code': '9F469MQ8+8V'}",,ChIJlSnDxIXlxUcRxuthRAyEC_0,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",,"Beijnesweg 14D, Haarlem",,,8819682513fffff
CLOSED_TEMPORARILY,"{'location': {'lat': 52.38750580000001, 'lng': 4.673423300000001}, 'viewport': {'northeast': {'lat': 52.3891186802915, 'lng': 4.674368080291504}, 'southwest': {'lat': 52.3864207197085, 'lng': 4.671670119708499}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Het Veerkwartier,,"[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117527027471230796731"">Het Veerkwartier</a>'], 'photo_reference': 'AXQCQNRJm0k8o9Cpeciyho1vVMb-MIdOMyAonMXQufiPAgFFj6INfsre0z--SohFf3rmXQ3LCAw1t0CCXSguHQQlFV6YkCiGwkCPGcDA3DN0_3gzNyCDcSbfX8baYF0dRhmRnkJEcWYuPrvIP5VUYcqEPlohTacj7W4AF3jYaOMoFWG-huT2I8KiEXgGKp-uBh5mc9mr5bVjmY2DLx3Zh1-BSeHlpS7TlB1TeoYDrBfmmCfJHG4Ty9KLt6e9jgOfposYqyRFtjaJW2waOnFe85_01WlUc9nUMUYX9thzKmhUFL5DTWEkkBTrRxncg4G6iTs6FBO33BmnwNA', 'width': 6000}]",ChIJF8ASNoXlxUcRfuOw-WSrVAQ,"{'compound_code': '9MQF+29 Haarlem, Netherlands', 'global_code': '9F469MQF+29'}",4.2,ChIJF8ASNoXlxUcRfuOw-WSrVAQ,GOOGLE,"['restaurant', 'bar', 'food', 'point_of_interest', 'establishment']",902.0,"A. Hofmanweg 62, Haarlem",True,2.0,8819682513fffff
OPERATIONAL,"{'location': {'lat': 52.38929170000001, 'lng': 4.6684866}, 'viewport': {'northeast': {'lat': 52.39058393029151, 'lng': 4.669871880291502}, 'southwest': {'lat': 52.38788596970851, 'lng': 4.667173919708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Vers Haarlem,{'open_now': False},"[{'height': 960, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112761250705511839786"">Vers Haarlem</a>'], 'photo_reference': 'AXQCQNTE0QpeStaPTSG-lmq0b9hmF26REDfutI35n5CHtM05jjCD5-KWU9NrUxtpLYMVFXKATEAZaVCygAXfRQ3Ceknrk2ARIPwjNZFlwyKrCRl0SAkLjsGkGpSstqJB53uPQEXmevRosiWKyd8IgYnnh2FQQyPBY_4sd7s56PAKOMLlMVo-8B2xktpdX-jcebIKU3oExWZKvW4Tg8mEbur4Us8cMO_Q9q9AVYgRrAoCNev7ggkV9d_G5JYK6Njovp8F5aZ4gh1MlmnbYnyOM_-W15cxhcZolwwDP9tWiOj8CTQOnXXSaBp7llczmC5EU7FR9UG5Kn81bU8', 'width': 640}]",ChIJ_xHwsRHlxUcRtkKnjgv529c,"{'compound_code': '9MQ9+P9 Haarlem, Netherlands', 'global_code': '9F469MQ9+P9'}",4.7,ChIJ_xHwsRHlxUcRtkKnjgv529c,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",12.0,"A. Hofmanweg 1A, Haarlem",,,8819682513fffff
OPERATIONAL,"{'location': {'lat': 52.3906663, 'lng': 4.6627104}, 'viewport': {'northeast': {'lat': 52.3919441302915, 'lng': 4.664112230291502}, 'southwest': {'lat': 52.3892461697085, 'lng': 4.661414269708497}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Every Moment Tapas,{'open_now': False},"[{'height': 682, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108031971941979415524"">Every Moment Tapas</a>'], 'photo_reference': 'AXQCQNTXDf8ro-SmZul0NY5GF28IGaIvEHmmCJ3MKKgXoeZYsLVW8tx7Y6JNVci3z1BfihMvirrojvln8_AA_U2jRV03G8-wEOzEFaWVntKTr_3F_5-zZonbicuz6cfVJTQqI6-FOYeLnxueTGbLQwKVzKF7lAWXnT_g3kR1BVZdFdc5qEol0e9AofdbVvMKrSs81Ds_RXTzgXUCYZCgPGyKv_cvK9WDOhRNheju2ThQ3SW8uPu-H7NfGW5UkRGiDBdBVEyKQAzppLj---dE7ayWiHEv5J9raIg9BXTTZj5Y6ScpHN2FTmlgjYuvH6isoPQlSvi7rpIaqns', 'width': 1024}]",ChIJmxCZIJ7lxUcRr48rJ_8hscM,"{'compound_code': '9MR7+73 Haarlem, Netherlands', 'global_code': '9F469MR7+73'}",,ChIJmxCZIJ7lxUcRr48rJ_8hscM,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",,"J.W. Lucasweg 1, Haarlem",,,8819682513fffff
