business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,price_level,rating,reference,scope,types,user_ratings_total,vicinity,hex_id
OPERATIONAL,"{'location': {'lat': 52.3520319, 'lng': 4.6534037}, 'viewport': {'northeast': {'lat': 52.35339133029149, 'lng': 4.654796280291502}, 'southwest': {'lat': 52.35069336970849, 'lng': 4.652098319708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Grillroom Memphis,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100211773592726021717"">Abdelhalim Aljaouhari</a>'], 'photo_reference': 'AXQCQNQtffNHanSWVzgre5mUNHuGfYFcRDDsQoYaAPu_OkBXVaVssAUUIYFAYf5NcjXCTpWz-EMt29GszHPWMdZ4u87dyAqRr4xZ2-kLIgXoS17E5ByRs1gs2XM85Sq8wT-HIM35nT2cjpbMK4XsTAZnAmMc8AM4ogeUmUF3gy1SmHd33-gKm4NSv95tjvWtJSdo5UlPnBxvdhFpZo_oCFqjx-zhH2Y1kkZ_igRTA4_U84cAFxQY5ZdDP71aQez2Vp6yjeZJKJ2PesORPidYktd9UKIlfCqTEyAlAzOTtImhrTicmPyGBO4KYqnOkRp0XGvucMyRfzg3h0ehs7qyj_skR7oK1AJK7UIWvy_NeF1JW8UI3phCg-ybnyeiaw3T2qF0JH7JIEGaRCwYMZrDII-jrFcDcDDarfaZkMDNRRAHUoYTdGmdZcQ-Tyx83UjRP1azdmOS4dmXKjAjA1K6ajiBTZ942YlA743KH50xQlPZwHDz8o6cC2VOYSUwxqWRxQRz7H3I_CdGejhqKrpbwss43Z55J75osB7Gss-_Mzwdvyyek9eCGe34jRnJ52vF9B_28ZezscIS0zFvZELMk8zBgC6IwQEVQ1gf996FW-kbHzn8PPEYNhjABnudJ7MDAUBt', 'width': 4032}]",ChIJXZrP1wHmxUcRDT7VNnUVHJo,"{'compound_code': '9M23+R9 Haarlem, Netherlands', 'global_code': '9F469M23+R9'}",1.0,3.0,ChIJXZrP1wHmxUcRDT7VNnUVHJo,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",122.0,"Engelenburg 66, Haarlem",88196825bdfffff
OPERATIONAL,"{'location': {'lat': 52.3527073, 'lng': 4.650717000000001}, 'viewport': {'northeast': {'lat': 52.35400128029151, 'lng': 4.652084230291504}, 'southwest': {'lat': 52.35130331970851, 'lng': 4.649386269708499}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Snackbar-Amon Schalkwijk Haarlem,{'open_now': True},"[{'height': 1419, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112138374487681621152"">Snackbar-Amon Schalkwijk Haarlem</a>'], 'photo_reference': 'AXQCQNR5qZh3Q84q9T6O3iLFK-aHApEHcRjaD4kwBw3Voze10v-RYRrIqnaVKilBPSu7Hjp0TdVIIe_GRGliEmweH3WLAYv_VRAX3Nlmc7LMBZ8Ur1v_KdMKdQ7u8q0iQC_l93AkKP2IUliHARN1o3RgS6VwIpjo3_mUpzP12FMaBt8UX0ZiT460YRWxM0jvQsWnGzJ_GGN43XAWaglPkc48NMKp5Gu4NcCV0T2jhuImRtm52kqb7S_fIzGkYWA_Xms8c8Zx_28rW6HTkt4KxuH6FFjFTn6A4RZDHG0A9vE3LdZr77Fk4OdcCILA1_pCEpuj7L64nuNoGQI', 'width': 2232}]",ChIJtXWpeZ3pxUcRHX06RMFc1Z0,"{'compound_code': '9M32+37 Haarlem, Netherlands', 'global_code': '9F469M32+37'}",,,ChIJtXWpeZ3pxUcRHX06RMFc1Z0,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",,"Frieslandlaan 7, Haarlem",88196825bdfffff
