business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,rating,reference,scope,types,user_ratings_total,vicinity,price_level,hex_id
OPERATIONAL,"{'location': {'lat': 52.3785236, 'lng': 4.661553799999999}, 'viewport': {'northeast': {'lat': 52.37994193029149, 'lng': 4.662856880291502}, 'southwest': {'lat': 52.37724396970849, 'lng': 4.660158919708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,the Coffee Pot,{'open_now': False},"[{'height': 600, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100230798552108067034"">Dik van Luik</a>'], 'photo_reference': 'AXQCQNQ8Fa0ih6Ay2NZ6xS0zCa2QoI1mKAqLbtoXqYwH4YnD0eJ7LJJbK9yIEPyqFYn9s7ZgKNIAq0nY5c6OgHLcEdHT0aUw0zeN_gC0N6RI84SjK-KagCY6K3css-cSOX003wa0LAjwJ8MVMsNB-Xt4-dKH5pwbbh5Cper5FW5L0O137kbGqmlK9hYq5rlWFQG7-LQTBPXUIbGMpRNtPlwOeFN-qFgcI-xBj6hZeQVGEe9hcGVvm-Vj-oeBhvlS456QdkWv-qUjpoPhZHUzbr1Jsqu5Pu-TBl_uIY0wkFWwLDgisNM0AYatUmVJ-g_-33UKVU0xFFW9UtL-IuyUUAW0WBKsT_gHtlwm_-lxbvLGKYwBoDe9KrHGQ2Q1K1PkW15zPeYpTeDVr-yjM_Sgmf9mEwEcrRr3EpXMPiwDvb778QukRDdvdMniKVaEZnWawoist1y8uRUr6nB1BNG3M0M6Qwsex8V_Svqgd9H39DtkHqXNg7CGVUdhVL41YodWqFT16sKMfYowjIdn372Ik4jXhM_ndJc7iLc0aGG4g-C2wx0Y6YzmmwFkoYfaBGr4UyX-yKQbJUOQMzhSTDKtQ1TCBC9Aw14IoqzjuANq1j-fJ5bvDlbKR5Ho7m08s2ihIQjSFtId2w', 'width': 800}]",ChIJa2VrAYvlxUcRrTy8aMo03KQ,"{'compound_code': '9MH6+CJ Haarlem, Netherlands', 'global_code': '9F469MH6+CJ'}",4.4,ChIJa2VrAYvlxUcRrTy8aMo03KQ,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']",22.0,"Prinses Beatrixplein 19, Haarlem",,88196825ebfffff
OPERATIONAL,"{'location': {'lat': 52.3783045, 'lng': 4.662617300000001}, 'viewport': {'northeast': {'lat': 52.3797331302915, 'lng': 4.663980180291501}, 'southwest': {'lat': 52.3770351697085, 'lng': 4.661282219708497}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Stichting Turquoise,{'open_now': False},"[{'height': 3333, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117704949779912699697"">Stichting Turquoise</a>'], 'photo_reference': 'AXQCQNSFJu-tb-Z3_xeFimoZVX2k66cjJWo1UzVJbYnhDsWrlaWGzrCWCFWxElEi8QaRUuRBxInf2kEppuRaNC1Yc6KPAXb-uEJz780LrLDtG_lmH8rMADXxvysLHuj74U1OW8xIH1D3q_tGj5EvYJ9QNsNHR13__B86ATk23L36nzL4BzMhinXzvxENykiRfWhIHYlXbFmFpAI5142kqa5ljwhUHo4l-A1teT1yB-qImrj2C0_XiQ996iIloz5fe7_b0_uVCrW_Wl76W4s9eAvsn-YLDjugz_ki30xshx8O0j6Xr9gZcR3jfqYnd0vDkQZ7HNISXB9_gMI', 'width': 4444}]",ChIJxVE_DIvlxUcRkkpoq-C3wy0,"{'compound_code': '9MH7+82 Haarlem, Netherlands', 'global_code': '9F469MH7+82'}",4.6,ChIJxVE_DIvlxUcRkkpoq-C3wy0,GOOGLE,"['cafe', 'restaurant', 'food', 'store', 'point_of_interest', 'establishment']",103.0,"Prinses Beatrixplein 51-53, Haarlem",1.0,88196825ebfffff
OPERATIONAL,"{'location': {'lat': 52.37538899999999, 'lng': 4.664478}, 'viewport': {'northeast': {'lat': 52.37673798029149, 'lng': 4.665826980291502}, 'southwest': {'lat': 52.3740400197085, 'lng': 4.663129019708498}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Schöneberg koffie,{'open_now': False},,ChIJRcSa623lxUcRk3M0YTDTTgw,"{'compound_code': '9MG7+5Q Haarlem, Netherlands', 'global_code': '9F469MG7+5Q'}",,ChIJRcSa623lxUcRk3M0YTDTTgw,GOOGLE,"['cafe', 'food', 'store', 'point_of_interest', 'establishment']",,"Martin Monnickendamstraat 19, Haarlem",,88196825ebfffff
