geometry,icon,icon_background_color,icon_mask_base_uri,name,photos,place_id,reference,scope,types,vicinity,hex_id
"{'location': {'lat': 52.3873878, 'lng': 4.6462194}, 'viewport': {'northeast': {'lat': 52.42865255562656, 'lng': 4.686469750378643}, 'southwest': {'lat': 52.33893104515273, 'lng': 4.599287640053803}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/geocode-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Haarlem,"[{'height': 1350, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117269371912788197905"">S.K. Gupta</a>'], 'photo_reference': 'AXQCQNTb8AwpbsVA7WJ35scVx05lcDOSbPNddoONSSkArEg8flx5McvZfn43WjNSeDvqwMhDv3iJ9_5d1E_EqLLB386YnQQvLNETuHnL3Ax9FEbTl43_3oaGziETvp5D-cdY1yVIcC_fQC4wOba0oaYeG-RA53h1TEJmw6DSbTjhMw0IbL6FVLj3uKJou_vvqfRKbPlfBoS1xfCJmZd_DZzJYqL7pVAzl_UdgDHr2AUGhMbKDiNj613ywb6927VSEb4HRkQLD-4-R0vXeLvQlboiU7qeb4T4XqTmsBfT7w_n5ffvxckhJVRslw1lICh1YT5eaQexOk_-MJv2OH-tERB-3K6ZNQJS830gw-9bamLQHWrl09tIT7EgeF1d3KEZBvQs1Vs5Igt8HhTEBXDUDrUktZ9pdQFXmln-Qs26gHMlOnpQ9uSW6MQ7srbne22J8GDPATifNURkgfu2z2ZP0mPFYibS3kfNJrBspIPofBVa-RcUyDlwXeS92sMeazm3rPmMJSZyKluPlBhennAouocVJiCQWlXDCektXW4A9k91QMfmpbxY-NtmvcB6XbMXs2n-V_Nbms8Vai0ewpughUIuFeEyogvq8fEXBZs6dMYyL4KZT7HMpHNHFMCgNk8eWSLm', 'width': 1080}]",ChIJ--nhYGzvxUcROX6huIBW4Yo,ChIJ--nhYGzvxUcROX6huIBW4Yo,GOOGLE,"['locality', 'political']",Haarlem,8819682555fffff
"{'location': {'lat': 52.4161594, 'lng': 4.6609942}, 'viewport': {'northeast': {'lat': 52.42870194708357, 'lng': 4.682928792048036}, 'southwest': {'lat': 52.40407587740604, 'lng': 4.639882921459295}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/geocode-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Oud Schoten en Spaarndam,,ChIJgQBq_orvxUcRaTjZSj_sKJ0,ChIJgQBq_orvxUcRaTjZSj_sKJ0,GOOGLE,"['sublocality_level_1', 'sublocality', 'political']",Oud Schoten en Spaarndam,8819682555fffff
